ImageID,ImageURL,accuracy,label
128c40ad-c82a-4538-8295-cb14943a2300,s3://dic-2024s/128c40ad-c82a-4538-8295-cb14943a2300,0.8473095,zebra
128c40ad-c82a-4538-8295-cb14943a2300,s3://dic-2024s/128c40ad-c82a-4538-8295-cb14943a2300,0.5743927,zebra
128c40ad-c82a-4538-8295-cb14943a2300,s3://dic-2024s/128c40ad-c82a-4538-8295-cb14943a2300,0.9195103,zebra
4ebeff2f-f1fa-4186-ab4d-e6096a238dbc,s3://dic-2024s/4ebeff2f-f1fa-4186-ab4d-e6096a238dbc,,
327f0220-f9e0-4388-915e-d2f3ebc8f5a8,s3://dic-2024s/327f0220-f9e0-4388-915e-d2f3ebc8f5a8,0.50244075,motorbike
ef40447f-7978-40b4-b950-c22c221f0e38,s3://dic-2024s/ef40447f-7978-40b4-b950-c22c221f0e38,0.68368304,person
62033e44-0330-4723-b862-e014c24da2dd,s3://dic-2024s/62033e44-0330-4723-b862-e014c24da2dd,0.54370534,chair
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.70513964,person
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.59974784,person
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.7664193,person
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.86632496,person
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.9088474,person
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.6813043,person
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.8030131,person
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.57741624,person
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.5420879,person
9331e568-f78a-4c26-b732-b6e9d67c004b,s3://dic-2024s/9331e568-f78a-4c26-b732-b6e9d67c004b,0.74256796,person
1f95e03e-9ede-4631-b426-177c215b2c5e,s3://dic-2024s/1f95e03e-9ede-4631-b426-177c215b2c5e,0.972595,toilet
80aa1fef-3897-44b6-83e1-86fae373196c,s3://dic-2024s/80aa1fef-3897-44b6-83e1-86fae373196c,0.6498695,traffic light
